	Axis1	Axis2	Group	Study
HHH16	0.197717994	0.085625731	HH	Study5
HHH17	-0.020188209	0.265842665	HH	Study5
HHH18	0.074910405	0.191345161	HH	Study5
HHH19	-0.045843995	-0.016650051	HH	Study5
HHH2	0.106032612	0.006702775	HH	Study5
HHH20	-0.19043198	-0.16987131	HH	Study5
HHH21	-0.219992727	0.033820217	HH	Study5
HHH22	-0.205271035	-0.085042735	HH	Study5
HHH23	-0.508602227	-0.166166841	HH	Study5
HHH24	0.110376721	0.074220436	HH	Study5
HHH25	0.1784958	-0.102072956	HH	Study5
HHH26	0.184617134	0.106291748	HH	Study5
HHH27	-0.028395558	0.049488143	HH	Study5
HHH28	0.064098873	0.165984196	HH	Study5
HHH29	-0.172624146	-0.036653077	HH	Study5
HHH3	0.172135425	0.06530592	HH	Study5
HHH30	0.117558709	0.090343134	HH	Study5
HHH31	-0.307081068	-0.100341315	HH	Study5
HHH32	-0.406971153	-0.13952274	HH	Study5
HHH33	0.043886862	0.101380908	HH	Study5
HHH34	0.155757949	-0.033350815	HH	Study5
HHH35	-0.150136466	0.04948441	HH	Study5
HHH4	-0.100221001	0.10441143	HH	Study5
HHH5	0.1601268	0.086710868	HH	Study5
HHH6	0.126811896	0.098670847	HH	Study5
HHH7	0.205898438	0.125281083	HH	Study5
HHH8	-0.192138791	-0.000103124	HH	Study5
HHH9	0.16060004	0.133401496	HH	Study5
HHT1	0.153639334	-0.107713442	HT	Study5
HHT10	0.095696543	0.247311619	HT	Study5
HHT11	0.261212757	-0.040986336	HT	Study5
HHT12	0.249791969	-0.132921784	HT	Study5
HHT13	-0.088315445	-0.049751228	HT	Study5
HHT14	0.003913775	-0.131784885	HT	Study5
HHT15	0.208551224	0.142564024	HT	Study5
HHT16	0.091396963	0.101673287	HT	Study5
HHT17	0.158051065	0.194415742	HT	Study5
HHT18	0.257388738	-0.052750271	HT	Study5
HHT19	0.196847518	0.093025043	HT	Study5
HHT2	0.123390982	-0.109847504	HT	Study5
HHT20	0.138246926	-0.069325332	HT	Study5
HHT21	0.162279379	0.18662369	HT	Study5
HHT22	0.169104767	-0.049839025	HT	Study5
HHT23	-0.372783374	-0.153940811	HT	Study5
HHT24	0.035728099	0.179629454	HT	Study5
HHT25	0.008585082	0.191535916	HT	Study5
HHT26	0.239400303	0.038050255	HT	Study5
HHT27	0.124719822	0.050532034	HT	Study5
HHT28	0.245327404	0.172917843	HT	Study5
HHT29	0.136594729	-0.007123196	HT	Study5
HHT3	-0.286474547	-0.018143321	HT	Study5
HHT30	0.219440638	0.106453341	HT	Study5
HHT31	0.070982117	0.232555049	HT	Study5
HHT32	0.19184873	0.132125402	HT	Study5
HHT33	0.19483584	0.002354274	HT	Study5
HHT34	0.165042091	0.191814802	HT	Study5
HHT4	-0.403832546	-0.089580999	HT	Study5
HHT5	0.146214584	-0.054869014	HT	Study5
HHT6	0.219195866	-0.096864961	HT	Study5
HHT7	-0.1329805	0.031474688	HT	Study5
HHT8	-0.058140546	0.272342603	HT	Study5
HHT9	0.044391447	0.201316173	HT	Study5
HLH1	-0.023968454	0.091559355	LA	Study5
HLH10	-0.11559897	0.132570416	LA	Study5
HLH11	-0.034073361	0.096218838	LA	Study5
HLH12	-0.132044552	-0.02800536	LA	Study5
HLH13	-0.17470893	0.110997727	LA	Study5
HLH14	0.149076987	0.17493433	LA	Study5
HLH15	-0.016294825	0.075943459	LA	Study5
